funder,count,type,country,established
Charles University,38,Education,Czechia,1348
International Ocean Discovery Program,38,Other,Norway,2003
Endangered Wildlife Trust,38,Nonprofit,South Africa,1973
Ministerio de Educación y Cultura,38,Government,Uruguay,2012
Chulalongkorn University,38,Education,Thailand,1917
Mississippi State University,37,Education,United States,1878
Alfred P. Sloan Foundation,37,Nonprofit,United States,1934
Federal Ministry of Food and Agriculture,37,Government,Germany,1949
Future Forests Research,37,Facility,New Zealand,2007
Aarhus University,37,Education,Denmark,1928
Minzu University of China,37,Education,China,1941
Frankfurt Zoological Society,37,Archive,Germany,1858
Oregon State University,37,Education,United States,1868
Northern Ireland Statistics and Research Agency,37,Government,United Kingdom,2009
Fauna and Flora International,37,Nonprofit,Indonesia,1903
Geological Society of America,37,Nonprofit,United States,1888
Indiana Department of Natural Resources,37,Government,India,1965
National University of Singapore,37,Education,Singapore,1905
National Forests Office,37,Government,France,1964
China Fishery Machinery and Instrument Research Institute,37,Facility,China,1963
Hong Kong Policy Research Institute,37,Nonprofit,China,1995
Council for Wales of Voluntary Youth Services,37,Nonprofit,United Kingdom,1974
Cape Assist,37,Nonprofit,United States,1982
Scottish Environment Protection Agency,37,Government,Scotland,1996
Save the Rhino Trust,37,Nonprofit,Namibia,1991
University of Hawaii at Manoa,37,Education,United States,1907
China Institute of Water Resources and Hydropower Research,37,Facility,China,1958
Lincoln Park Zoo,37,Archive,United States,1868
National Center for Appropriate Technology,37,Nonprofit,United States,1976
Victoria University of Wellington,37,Education,New Zealand,1897
Australian Museum,36,Archive,Australia,1827
Office of Science,36,Government,United States,1977
Chinese Society of Plant Nutrition and Fertilizer Science,36,Other,China,1982
Arcus Foundation,36,Nonprofit,United Kingdom,2000
United States Department of the Navy,36,Government,United States,1798
Marie Curie,36,Nonprofit,United Kingdom,1948
University of Washington,36,Education,United States,1861
Ministry of Economic Affairs and Climate Policy,36,Government,Netherlands,1905
Ministry of Foreign Affairs,36,Government,France,1945
Ghent University,36,Education,Belgium,1817
Killam Trusts,36,Other,Canada,1965
King Saud University,36,Education,Saudi Arabia,1957
Australian Centre for International Agricultural Research,36,Government,Australia,1982
FCT College of Education,36,Education,Nigeria,1996
Instituto Tecnológico de la Producción,35,Government,Peru,
Schuler Scholar Program,35,Nonprofit,United States,2001
National Water Agency,35,Government,Brazil,2000
Ontario Genomics Institute,35,Nonprofit,Canada,2000
Ministerio de Educación Cultura y Deporte,35,Government,Spain,2011
Duke University,35,Education,United States,1838
California Sea Grant,35,Other,United States,1973
Institució Catalana de Recerca i Estudis Avançats,35,Nonprofit,Spain,2000
Garden Club of America,35,Nonprofit,United States,1913
Robert Bosch Stiftung,35,Nonprofit,Germany,1964
Ifm electronic (Germany),35,Company,Germany,1969
Landcare Research,35,Other,New Zealand,1992
Society for the Study of Amphibians and Reptiles,35,Nonprofit,United States,1958
University of Adelaide,35,Education,Australia,1874
Arcadia,34,Nonprofit,United States,2010
Ducks Unlimited,34,Nonprofit,United States,1937
Secretariat of Environment and Natural Resources,34,Government,Mexico,2000
Fundação de Amparo à Pesquisa e Inovação do Estado de Santa Catarina,34,Government,Brazil,2005
Pacific Islands Fisheries Science Center,34,Facility,United States,
Jiangsu Industry Technology Research Institute,34,Facility,China,2013
Swiss Federal Office of Energy,34,Government,Switzerland,1991
Centre For Wildlife Studies,34,Nonprofit,India,1984
British Antarctic Survey,34,Government,United Kingdom,1962
Leona M. and Harry B. Helmsley Charitable Trust,34,Nonprofit,United States,1999
Australian Resources Research Centre,34,Facility,Australia,2001
Wetech (Germany),34,Company,Germany,1988
"Changjiang Institute of Survey, Planning, Design and Research",34,Facility,China,
Centro de Innovación de Infraestructuras Inteligentes (Spain),34,Company,Spain,
Fellowship Fund Inc,34,Nonprofit,Australia,
"Conservation, Food and Health Foundation",34,Other,United States,1985
AXA Research Fund,34,Nonprofit,France,2007
Department of Agriculture and Food Western Australia,34,Government,Australia,1894
Marine Research Centre,33,Government,Maldives,1984
Ministry of Scientific Research and Innovation,33,Government,New Zealand,
Wallace Foundation,33,Nonprofit,United States,1922
Murdoch University,33,Education,Australia,1975
United Nations Development Programme,33,Other,United States,1965
Fujian Provincial Department of Science and Technology,33,Government,China,
National Fisheries Research and Development Institute,33,Government,South Korea,1921
University of Wyoming,33,Education,United States,1886
Financiadora de Estudos e Projetos,33,Government,Brazil,1998
Science and Engineering Research Board,33,Government,India,2009
University of Auckland,33,Education,New Zealand,1883
Scottish Universities Environmental Research Centre,33,Facility,Scotland,2004
Northwest Fisheries Science Center,33,Facility,United States,2000
European Aquaculture Technology and Innovation Platform,33,Nonprofit,Belgium,2009
Fundación Biodiversidad,33,Nonprofit,Spain,
"Department of Environment, Forestry and Fisheries",33,Government,South Africa,1994
Department of Fisheries and Marine Research,33,Government,Cyprus,1964
Canada Excellence Research Chairs,32,Other,Canada,2008
Junta de Castilla y León,32,Government,Spain,1983
African Safari Club Of Florida,32,Nonprofit,United States,1981
Ministry of the Environment and Protection of Land and Sea,32,Government,Italy,1981
Instituto Biológico,32,Facility,Brazil,1924
Massey University,32,Education,New Zealand,1927
Max Planck Institute for Ornithology,32,Facility,Germany,2004
Ecological Society of Australia,32,Nonprofit,Australia,1959
Defense Advanced Research Projects Agency,32,Government,United States,1958
Ministry of Natural Resources and Wildlife,32,Government,France,2005
Auvergne-Rhone-Alpes Entreprises,32,Other,France,
Society for Conservation Biology,32,Nonprofit,United States,1985
Esmée Fairbairn Foundation,32,Nonprofit,United Kingdom,1961
California Native Plant Society,32,Nonprofit,United States,1965
Innovative Research (United States),32,Company,United States,1987
California State Library,32,Archive,United States,1850
Elkhorn Slough Foundation,32,Facility,United States,1982
World Bank,32,Other,United States,1944
National Botanic Garden of Wales,32,Archive,United Kingdom,2000
University of Toronto,32,Education,Canada,1827
Wild Sheep Foundation,32,Nonprofit,United States,1977
Community Services Institute,32,Healthcare,United States,
National Marine Sanctuaries,32,Government,United States,1972
Texas Tech University,32,Education,United States,1923
Museo de Historia Natural,31,Nonprofit,Peru,1918
Science and Technology Department of Sichuan Province,31,Government,China,
Institute of Evolutionary Biology,31,Facility,Spain,2008
European Fisheries Control Agency,31,Government,Spain,2005
Berry College,31,Education,United States,1902
Institute of Environmental Studies & Wetland Management,31,Facility,India,1986
European Regions Research and Innovation Network,31,Nonprofit,Belgium,2001
Field Museum of Natural History,31,Archive,United States,1893
Netherlands Organisation for Applied Scientific Research,31,Nonprofit,Netherlands,1932
State Scholarships Foundation,31,Other,Greece,1951
National University of La Plata,31,Education,Argentina,1897
Instituto Antártico Chileno,31,Other,Chile,1963
University of Oxford,31,Education,United Kingdom,1096
Nevada Department of Wildlife,31,Government,United States,1877
Carl Tryggers stiftelse för vetenskaplig forskning,31,Facility,Sweden,1961
Forestry Research Centre,31,Facility,Italy,1922
National Biodiversity Institute,31,Nonprofit,Costa Rica,1989
Great Lakes Protection Fund,31,Other,United States,1989
Hunan Provincial Science and Technology Department,31,Government,China,
Theodore Roosevelt Association,31,Other,United States,1919
Wildfowl & Wetlands Trust,31,Nonprofit,United Kingdom,1946
Welsh Government,31,Government,Wales,1999
University of Illinois Urbana-Champaign,31,Education,United States,1867
South East Water (Australia),31,Company,Australia,1995
Guizhou Provincial Science and Technology Department,31,Government,China,
Department of Environment and Conservation,31,Government,Canada,
Great Lakes Environmental Center,31,Other,United States,1982
University of Alaska Fairbanks,31,Education,United States,1917
Great Lakes Fishery Commission,31,Government,United States,1954
South African Agency for Science and Technology Advancement,31,Nonprofit,South Africa,2002
University of California System,31,Education,United States,1868
Wildlife Conservation Society India,31,Nonprofit,India,1963
Wenner-Gren Foundation,30,Nonprofit,United States,1941
Fon (United Kingdom),30,Company,United Kingdom,2006
University Grants Commission of Bangladesh,30,Education,Bangladesh,1972
Great Britain Sasakawa Foundation,30,Nonprofit,United Kingdom,1983
Fondation FondaMental,30,Other,France,2007
Max Planck Institut für Zellbiologie,30,Facility,Germany,1947
Conseil Régional de Nouvelle-Aquitaine,30,Government,France,
National Foundation for Science and Technology Development,30,Government,Vietnam,2003
Society of Wetland Scientists,30,Nonprofit,United States,1980
State Key Laboratory of Pollution Control and Resource Reuse,30,Facility,China,1991
Department of Natural and Environmental Resources,30,Government,United States,1972
Norwegian Agency for Development Cooperation,30,Government,Norway,1968
Ford Foundation,30,Nonprofit,United States,1936
Jiangsu Provincial Department of Education,30,Government,China,
Indonesian Institute of Sciences,30,Facility,Indonesia,1928
ForestGEO,30,Facility,United States,
University of Calgary,30,Education,Canada,1966
Swedish International Development Cooperation Agency,30,Government,Sweden,1995
New South Wales Department of Primary Industries,30,Government,Australia,2004
University of Exeter,30,Education,United Kingdom,1955
American Philosophical Society,30,Other,United States,1743
China National Environmental Monitoring Center,30,Facility,China,1980
University of Turku,30,Education,Finland,1920
Strategic Education Research Partnership,30,Nonprofit,United States,2003
University of Applied and Environmental Sciences,30,Education,Colombia,1983
